6,DLLO CURR AMB B LEARNING
6,FILOSOFIA Y TEORIA DEL APREND
6,COMUNC Y CURRI NUEVAS TECNOLOG
6,TECNOL DE INFORMACION Y COMUN
6,SEM DE PRACTICA PEDAGOGICA IV
7,EXPRESION ORAL
7,COMPETENCIA COMUNICATIVA II
7,LECTURA IMPRESCINDIBLES
7,COMPETENCIA COMUNICATIVA I
7,FICCION Y GENEROS POPULARES
7,COMUNICACION Y ESCRITURA
7,ESTUDIOS DEL LENGUAJE I
8,OCEANOGRAFIA FISICA
8,TECN EXPERIMENTAL METEOMARINAS
8,ANALISIS DE SERIES DE TIEMPO
8,SEMINARIO DE INVESTIGACION II
8,PROYECTO DE TESIS
8,EXAMEN DE CALIFICACION
8,SEMINARIO DE INVESTIGACION IV
8,TESIS II
8,TESIS IV
8,TESIS VI
8,OCEANOGRAFIA DINAMICA
8,MECANICA DE OLAS
8,FUNDAMENTO DE FISICA
8,PLANETA OCEANO
8,TEORIA ELECTROMAGNETICA
8,FISICA MECANICA
8,FISICA ELECTRICIDAD
8,FISICA CALOR ONDAS
8,FISICA I - DI
8,FISICA II - DI
8,ROCAS METAMORFICAS
8,ESTRATIGRAFIA
8,GEODESIA Y SISMOLOGIA
8,GEOLOGIA AMBIENTAL
8,GEOLOGIA ESTRUCTURAL
8,GEOLOGIA FISICA
8,GEOMORFOLOGIA
8,GEOQUIMICA
8,HIDROGEOLOGIA
8,MINERALOGIA
8,OCEANOGRAFIA DESCRIPTIVA
8,PALEONTOLOGIA
8,RECURSOS MINERALES
8,ROCAS IGNEAS
8,SENSORES REMOTOS Y SIG
8,SEDIMENTOLOGIA Y ROCA SEDIMENT
8,INTRODUCCION A LA GEOCIENCIAS
8,FISICA MODERNA DEL ESTADO
8,FISICA DE NUEVOS MATERIALES
8,TESIS I
9,SEM HERRAMIENTAS INV DIGITAL
9,HISTOGRAFIA AMERICA LATINA CAR
9,PATRIMONIO Y SOCIEDAD
9,HISTORIA Y DEBATE
9,PLAN DE INVESTIGACION IND III
9,PATRIMONIO Y DESARROLLO SOCIAL
9,SEMINARIO ELECTIVO I
9,PLAN DE INV INDEPENDIENTE 4
9,PLAN DE INVESTIGAC  INDEPEN II
9,PLAN DE INV INDEPENDIENTE 5
9,ANALISIS DE DATOS CUALITATIVOS
9,DESARROLLO SOCIAL
9,ANALISIS DE DATOS CUANTITATIVO
9,SEMINARIO ELECTIVO II
9,PLAN DE INV INDEPENDIENTE 6
9,PLAN DE INV INDEPENDIENTE 8
9,FORMULACION DE PROY DE DESARR
9,EL SISTEMA DE COOPERACION INT
9,ECONOMIA POLITICA DEL DESARRO
9,MARCO INSTITUCIONAL Y POLITICO
9,PROY  DE COOPERACION INTER I
9,TECNICAS DE NEG DE PROYECTOS
9,PROB CONTEMP Y DLLO SOC
9,EVAL DE PROY DE DESARROLLO
9,SEMINARIO ELECTIVO DE PROF III
9,PROY  DE COOPERACION INTER III
9,SEMELECTEN DLLO SOCIAL III
9,ARQ HIS CONTACTOS COMERCIALES
9,ARQSXXI
9,ARQUEOLOGIA NAUTICA
9,ETICA EMPRESA DECISIONES PROF
9,SOCIOLOGIA GENERAL
9,RACE IDENT CULTURAL DIVERS COL
9,VIDA EN RED Y CAMBIO SOCIAL
9,PROBSOCIEDAD CONTEMPORANEA
9,CIENCIASTECNOLOGIA-SOCIEDAD
9,CARIBE PREHISPANICO
9,DIVERSIDAD CULTURAL CARIBE COL
9,GEOGRAFIA GRAN CUENCA CARIBE
9,HISTORIA HUMANA DEL RIO MAGD
9,HRIA Y CULTURA DEL CARIBE
9,CULTURA E IDENTIDAD CARIBE
9,FUNDAMENTOS DEL MUNDO CONTEM
9,HRIA POLITICA ECON- COLOMBIA
9,HISTORIA DE LAS IDEAS POLITICA
9,REVOLUCIONES EN LA HISTORIA
9,HRIA POLITICA-AMERICA LATINA
9,HISTORIA DEL MUNDO SIGLO XX
9,GRECIA
9,HRIA DE COL SIGLO XX
9,HRIA DE BARRANQUILLA
9,HISTORIA DE LA MEDICINA
9,SEMINARIO DE INVESTIGACION II
9,PRACTICA PROFESIONAL (RI)
9,GEOPOLITICA
9,SISTEMAS POLITICOS COMPARADOS
9,POLITICA DE ASIA PACIFICO
